#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0899000000e+09, -1.5133160000e-02, -4.6906040000e-02, -2.6145386727e+01, -1.8828805308e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0899500000e+09, -1.5835720000e-02, -4.7343390000e-02, -2.6034229279e+01, -1.8935842803e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0900000000e+09, -1.6767970000e-02, -4.6748070000e-02, -2.6079106281e+01, -1.9151899161e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0900500000e+09, -1.7502120000e-02, -4.6677940000e-02, -2.6046466436e+01, -1.9295274131e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0901000000e+09, -1.8617430000e-02, -4.5936120000e-02, -2.6096415419e+01, -1.9558543384e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0901500000e+09, -1.9994200000e-02, -4.5973240000e-02, -2.5997544886e+01, -1.9810304017e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0902000000e+09, -2.0369200000e-02, -4.4794970000e-02, -2.6159166662e+01, -1.9975690459e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0902500000e+09, -2.1057070000e-02, -4.4986540000e-02, -2.6077975838e+01, -2.0085792545e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0903000000e+09, -2.2700690000e-02, -4.4422280000e-02, -2.6040343825e+01, -2.0432213141e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0903500000e+09, -2.3189590000e-02, -4.4072250000e-02, -2.6055272521e+01, -2.0551617584e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0904000000e+09, -2.4605560000e-02, -4.3450260000e-02, -2.6032152425e+01, -2.0860621310e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0904500000e+09, -2.4353060000e-02, -4.2681120000e-02, -2.6171279087e+01, -2.0893036912e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0905000000e+09, -2.5981760000e-02, -4.2323400000e-02, -2.6079502160e+01, -2.1213639000e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0905500000e+09, -2.6499920000e-02, -4.1418070000e-02, -2.6165971795e+01, -2.1399785645e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0906000000e+09, -2.7087600000e-02, -4.1206470000e-02, -2.6140879971e+01, -2.1523300956e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0906500000e+09, -2.8119200000e-02, -4.1141610000e-02, -2.6049670546e+01, -2.1703443525e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0907000000e+09, -2.8765050000e-02, -4.0216230000e-02, -2.6117614138e+01, -2.1916904752e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0907500000e+09, -2.9833590000e-02, -3.9690900000e-02, -2.6081107349e+01, -2.2153513923e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0908000000e+09, -3.0754000000e-02, -3.8917410000e-02, -2.6089989916e+01, -2.2395561635e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0908500000e+09, -3.1094260000e-02, -3.8062200000e-02, -2.6169778424e+01, -2.2557772113e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0909000000e+09, -3.1540320000e-02, -3.7555930000e-02, -2.6188416430e+01, -2.2693521512e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0909500000e+09, -3.2366150000e-02, -3.6929990000e-02, -2.6177322153e+01, -2.2904295209e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
